created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 19:01:06 +0000 2025,1953169479288131902,Jam 2 malam gini enak nya makan gacoal lvl 8 trs ciuman hebat,0,2,0,0,in,1349880605211648001,1953169479288131902,yumigisparkle,https://x.com/yumigisparkle/status/1953169479288131902,,yapping zone 🥨,
Wed Aug 06 18:56:27 +0000 2025,1953168309043736867,@eaxplain Justru karena dia gatau siapa itu malam jadi dia datang bang jawabannya abang harus makan,0,0,0,0,in,1849403785812283393,1953139848434597997,Arteliesart,https://x.com/Arteliesart/status/1953168309043736867,,"I, Joshiel E. Houston",eaxplain
Wed Aug 06 18:49:00 +0000 2025,1953166433808204189,"g ketidakhadiran, memilih untuk makan malam dengan staf GMM di WANMAEWNAM LOVE RUNS DEEP #WhaleStorexoxoEP7",0,0,0,0,in,1858139743349047296,1953166433808204189,Yuanchuxixixi,https://x.com/Yuanchuxixixi/status/1953166433808204189,,"Phra Nakhon, Bangkok",
Wed Aug 06 18:12:41 +0000 2025,1953157295397011764,Malam tak sempat makan. Tapi ok lah sebab tengahari dah makan. Rasanya aku ni makan 2 kali sehari jelah. Kurusnya tak tau bila 🤣,0,0,0,1,in,1737814708948967424,1953157295397011764,doonowwhatt,https://x.com/doonowwhatt/status/1953157295397011764,,,
Wed Aug 06 18:05:41 +0000 2025,1953155530538795493,"baru sadar kl ternyata untuk mendapatkan suatu kebahagiaan itu jg dibarengin sm kehilangan. tahun ini aku lolos orma, dapet divisi yg kumau, ikut suksesin gemabina, pertama kali ngerasain makan malam keluarga formasi lengkap. tapi dibalik itu semua, aku juga harus kehilangan mama",0,1,0,0,in,1214806256944177152,1953155530538795493,ayathecoco,https://x.com/ayathecoco/status/1953155530538795493,,RANT,
Wed Aug 06 17:54:12 +0000 2025,1953152643460915690,seketika ku ingat kejadian 2 tahun lalu diusir sama purna paskibra provinsi di acara jamuan makan malam di rujab gubernur. 😂,0,1,0,0,in,1526707662943297536,1953152643460915690,ammenggg,https://x.com/ammenggg/status/1953152643460915690,,"Makassar, Indonesia",
Wed Aug 06 17:53:56 +0000 2025,1953152577446789241,@kidsbdl enakkkk!! wajib coba makan lontong sayur tengah malam pilihan lain kalo mau makanan berkuah selain mie wkwk,0,0,0,0,in,1355151016484696069,1953148726022946952,disayang_kamuu,https://x.com/disayang_kamuu/status/1953152577446789241,,,kidsbdl
Wed Aug 06 17:47:28 +0000 2025,1953150950216212989,Laper tengah malam soalnya tadi abis makan bubur doang 😭,0,0,0,0,in,1427942099593269249,1953150950216212989,kakarizki123,https://x.com/kakarizki123/status/1953150950216212989,,"Bandung, Jawa Barat",
Wed Aug 06 17:35:11 +0000 2025,1953147857759838536,"Hi hooman, pernah gak malam malam kepikiran mau makan terus",0,21,0,0,in,1317650104937967616,1953147857759838536,selfolssi,https://x.com/selfolssi/status/1953147857759838536,https://pbs.twimg.com/media/Gxr5oErXgAA6c8a.jpg,contact: @selfolsupport,
Wed Aug 06 17:27:35 +0000 2025,1953145943282598089,"Baru juga mau makan , udah ga tahan pengen kehotel 📂  📂  Rabu malam bandar Budi Arie mainan Dhani pegawai BI kerennya kerja kelompok pagii pagiii tidur siang cari ready",0,5,0,17,in,759323752446451712,1953145943282598089,adlibvs,https://x.com/adlibvs/status/1953145943282598089,https://pbs.twimg.com/media/Gxr34h2awAElzXC.jpg,,
Wed Aug 06 17:13:22 +0000 2025,1953142365167960482,@iknowilino Diet apa yang malam-malam makan..,0,0,0,0,in,1694391857814654977,1953126427047649530,asylumswhore,https://x.com/asylumswhore/status/1953142365167960482,,Wonderland,iknowilino
Wed Aug 06 17:07:07 +0000 2025,1953140793536913868,"@huntrixJIEUN udah makan siang, udah makan malam juga👍🏻",0,1,0,0,in,1931709266957881344,1952170499481711077,huntrixHYUNJIN,https://x.com/huntrixHYUNJIN/status/1953140793536913868,,Fictional Character,huntrixJIEUN
Wed Aug 06 17:04:29 +0000 2025,1953140130589626661,@lethseee Malam malam makan pempek,0,0,0,0,in,1035593061412163584,1953132463288430688,noctisnocturn,https://x.com/noctisnocturn/status/1953140130589626661,,unlabeled,lethseee
Wed Aug 06 17:02:11 +0000 2025,1953139554011255005,"Terima kasih dok untuk ceritanya entah bagaimana endingnya mai doain semoga menjadi kenyataan surat cintanya dan hapoy ending, mai akan segera istirahat. Mai asal mula susah makan, akhirnya bisa nelan juga dan habis ini langsung istirahat. Obatnya oke.😇🤧🤒😴✨️selamat malam",0,0,0,1,in,497550217,1953139554011255005,Maisarah_SBSB,https://x.com/Maisarah_SBSB/status/1953139554011255005,,Indonesia,
Wed Aug 06 16:47:37 +0000 2025,1953135887954657633,@kawaikeuu makan malam yang kemalaman ya grace 😏,0,1,0,0,in,1468774716189986816,1953127430186778753,deyaksara,https://x.com/deyaksara/status/1953135887954657633,,"RPS Account, 젴선/젴누. NSFW. ",kawaikeuu
Wed Aug 06 16:45:17 +0000 2025,1953135297467654463,Lapar....... (Sudah makan malam.),0,0,0,0,in,1906346303992553472,1953135295375065171,witherweiss,https://x.com/witherweiss/status/1953135297467654463,,"20, she/they",witherweiss
Wed Aug 06 16:42:22 +0000 2025,1953134564097806408,"@sleepyofdusk Dengan sigap ia pun menyiapkan kopi seperti yang dipesankan. Menyuguhkannya kepada Keira setelahnya. “Hanya untuk sementara, tidak masalah. Ayo makan.” Evano akhirnya kembali duduk di meja makan yang berseberangan dengan Keira. “Tadi malam?” Tanyanya. Ia benar-benar lupa soal +",0,1,0,0,in,1770487785428054016,1952977974040670421,Menguatsadina,https://x.com/Menguatsadina/status/1953134564097806408,,Jakarta,sleepyofdusk
Wed Aug 06 16:38:17 +0000 2025,1953133535717671074,"cek. Ntar malam, coba Andra selesaikan.” Lanjut yang wira mengangguk-anggukkan kepala sampai pelayan membawakan buku menu yang menginterupsi pandangan Rayandra. ㅤㅤ️ㅤ“Iya, nanti surat penawaran.. Andra buatkan. Wa aja nama perusahaannya sama email. Makan di Jogja apa yang",0,1,0,0,in,1938275377824337924,1952969853528355211,B4RTRAMXIOR,https://x.com/B4RTRAMXIOR/status/1953133535717671074,,Indonesia,B4RTRAMXIOR
Wed Aug 06 16:36:45 +0000 2025,1953133153184563499,"@augtusd Engga hyung, itu lagi pusing mikirin menu makan malam besok",0,0,0,0,in,1367776825770790914,1953126915373515149,DJIMINl,https://x.com/DJIMINl/status/1953133153184563499,,étudiant,augtusd
Wed Aug 06 16:30:22 +0000 2025,1953131544283115997,so overwhelmed siang sampai tengah malam full laptop jeda cuma makan gimana ga capek ini saraf mata,0,0,0,0,in,865234510220218369,1953131544283115997,niesahanumm,https://x.com/niesahanumm/status/1953131544283115997,,,
