created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 19:20:25 +0000 2025,1953174339597242603,Keputusan Bek Timnas Inggris Bikin Liverpool Siap Relakan Konate Cabut,0,0,0,0,in,1606135128471633921,1953174339597242603,JoniAhm85598023,https://x.com/JoniAhm85598023/status/1953174339597242603,,,
Wed Aug 06 18:51:56 +0000 2025,1953167170042830942,"@utdfocusid @David_Ornstein @FabrizioRomano Perantaranya onana bukan? Kan sesama timnas Kamerun, menyala agen onana",0,0,0,0,in,1868209582784565248,1953154642470420945,ErenYeager83639,https://x.com/ErenYeager83639/status/1953167170042830942,,,utdfocusid
Wed Aug 06 18:40:33 +0000 2025,1953164307203801474,@nayoonayse masih ngelatih timnas,0,0,0,0,in,761626686,1953145770179477547,hyomacaa,https://x.com/hyomacaa/status/1953164307203801474,,🪐,nayoonayse
Wed Aug 06 18:38:20 +0000 2025,1953163749885649017,"@CNNIndonesia Ya gimana lagi, timnas dengan liga yg jelas vs timnas dengan liga imajinasi",0,0,0,0,in,107070942,1953161879750361249,adriaInsight,https://x.com/adriaInsight/status/1953163749885649017,,dihatimu,CNNIndonesia
Wed Aug 06 18:36:01 +0000 2025,1953163165455274083,"@IDGoonerscom 2 musim terakhir ga belajar, sering kebobolan ""lucu"" gegara main high defensive line + kiper dipaksa jadi bek tambahan. Menyerang banyak delay cross ke samping atau ke belakang padahal bisa through pass. Barusan lagi main long throw jing macem turun level tim ini kaya timnas wkwk",0,0,0,0,in,480274887,1953162428654752165,msatria28,https://x.com/msatria28/status/1953163165455274083,,"Jakarta,Indonesia",IDGoonerscom
Wed Aug 06 18:25:37 +0000 2025,1953160547467444407,"Profil Singkat 3 Lawan Timnas Indonesia U-17 di Piala Kemerdekaan 2025, Semuanya Peserta Piala Dunia!",0,0,0,0,in,95141299,1953160547467444407,VIVAbola,https://x.com/VIVAbola/status/1953160547467444407,,Jakarta,
Wed Aug 06 18:23:37 +0000 2025,1953160047069925507,Peringkat Timnas Putri Indonesia usai Ditahan Imbang India pada Kualifikasi Piala Asia Wanita U-20 2026,0,0,0,0,in,118371948,1953160047069925507,Harian_Jogja,https://x.com/Harian_Jogja/status/1953160047069925507,https://pbs.twimg.com/media/GxsEtjaXAAE0CEV.jpg,"Yogyakarta, Indonesia",
Wed Aug 06 18:21:46 +0000 2025,1953159581984805096,@TimnasIndonesia Mana nehh katanya fokus timnas doang,0,0,0,0,in,41572245,1953038187145904192,jajaejak,https://x.com/jajaejak/status/1953159581984805096,,,TimnasIndonesia
Wed Aug 06 18:20:00 +0000 2025,1953159135874175014,Catat! Ini Daftar 30 Pemain Timnas Indonesia U-17 yang Berlaga di Piala Kemerdekaan 2025!,0,0,0,0,in,1747464702492626944,1953159135874175014,gobetnews,https://x.com/gobetnews/status/1953159135874175014,https://pbs.twimg.com/media/GxpHr5bawAMAs6P.jpg,Indonesia,
Wed Aug 06 18:17:03 +0000 2025,1953158393973358803,Jay Idzes Selangkah Lagi Gabung Torino: Kapten Timnas Indonesia Cetak Sejarah di Serie A,0,0,0,0,in,1847286964409810944,1953158393973358803,elang_IDcom,https://x.com/elang_IDcom/status/1953158393973358803,,in,
Wed Aug 06 18:12:25 +0000 2025,1953157225947775096,"There are a LOT of valid reasons on why people jumping to hate Jerome, though i think he did get better after the timnas FOMO one And please never bring card 'daripada ngehate orang gini doang mending lu ngehate jkw,owo, dll' as if people cant hate multiple person at once",0,1,0,0,en,825572421730119680,1953157225947775096,ryoutaichika,https://x.com/ryoutaichika/status/1953157225947775096,,"20249 Hamburg-Nord, Germany",
Wed Aug 06 18:09:02 +0000 2025,1953156376148221953,"Malem Minggu Timnas Indonesia senior main di Surabaya. Sabtu, 6 September 2025 Indonesia vs Kuwait Berarti kemungkinan lawan Lebanon hari Selasa, 9 September 2025. #TimnasDay 📷 ig Alex Pastoor",0,0,0,2,in,134056083,1953156376148221953,kamar_agung,https://x.com/kamar_agung/status/1953156376148221953,https://pbs.twimg.com/media/GxsBXeFawAMKzpK.jpg,Jakarta,
Wed Aug 06 18:04:45 +0000 2025,1953155298996437015,"@idextratime ada mas onana sepuh di timnas nya, gassz lah",0,0,0,0,in,2423367961,1953151668398506330,uzanxiety,https://x.com/uzanxiety/status/1953155298996437015,,,idextratime
Wed Aug 06 18:02:32 +0000 2025,1953154740835278895,"@OghieGigs Joko gethuk sih yang gak habis pikir, buktinya perbedaan hasil dua timnas itu",0,0,0,0,in,1831617038,1953120006557794723,Zan99300768,https://x.com/Zan99300768/status/1953154740835278895,,Somewhere on Earth,OghieGigs
Wed Aug 06 17:54:20 +0000 2025,1953152675987828989,"@Mstf_dhe @idnewcastle_ dan banyak yang ga sadar newcastle kebanyakan beli pemain homegrown tim lain buat nyocokin dengan skema eddie howe, itu persen taxnya pasti goncangin PSR mereka, dan mereka dikit orbitin akademi ibarat newcastle ni ngumpulin pemain timnas inggris versi tier 2-3",0,0,0,0,in,211519384,1952994143518835126,zannns,https://x.com/zannns/status/1953152675987828989,,,Mstf_dhe
Wed Aug 06 17:52:42 +0000 2025,1953152265411543110,@officialJKT48 @A_VirgiJKT48 Happy birthday @A_VirgiJKT48 wish you all the best semoga bisa ikut Takeshi castle Indonesia season 4 Kadonya adalah timnas Indonesia U-17 lolos ke world cup U-17 2025,0,0,0,0,in,1233977445658685440,1953063867631976916,hidarisio,https://x.com/hidarisio/status/1953152265411543110,https://pbs.twimg.com/media/Gxr9okna4AAHwL6.jpg,,officialJKT48
Wed Aug 06 17:52:21 +0000 2025,1953152175804416022,@heartlesungchan halo kak sungchan! ini yang anggota timnas itu bukan ya? ehhh..,0,0,0,0,in,1927238575881433088,1953121990308708604,heartlepancake,https://x.com/heartlepancake/status/1953152175804416022,,BNK48. ᰔ ST: 1892,heartlesungchan
Wed Aug 06 17:45:06 +0000 2025,1953150351479288130,Oh ini maksudnya Addo Iya ya. Kayak padet bgt tuh jadwalnya ya sampe harus rotasi timnas,0,0,0,0,in,1865840710525882368,1953150351479288130,dmsklvn,https://x.com/dmsklvn/status/1953150351479288130,,,
